Referring page title,Referring page URL,Language,Platform,Referring page HTTP code,Domain rating,UR,Domain traffic,Referring domains,Linked domains,External links,Page traffic,Keywords,Target URL,Left context,Anchor,Right context,Redirect Chain URLs,Redirect Chain status codes,Type,Is spam,Content,Nofollow,UGC,Sponsored,Rendered,Raw,Lost status,Drop reason,Discovered status,First seen,Last seen,Lost,Author,Page type,Page category,Links in group
IPL Points Table on Gujarat Titans Website,https://www.gujarattitansipl.com/points-table,en,,200,59,14,1384485,117,37,47,303391,545,https://www.airasia.com/en/gb,,Air Asia,,https://www.airasia.com/,302,image,false,false,false,false,false,true,true,,,linkfound,2026-03-15 00:51:08,2026-04-24 03:45:52,,,Listing > Event,Sports > Team sports > Cricket,522
Kapook.com ข่าว สาระ บันเทิง วาไรตี้,https://www.kapook.com/,th,,200,77,54,7961508,3916,76,112,262439,1056,https://www.airasia.com/th/th,การบินไทย นกแอร์,แอร์เอเชีย,ไทย ไลอ้อน แอร์ บางกอกแอร์เวย์ส,,,text,false,false,true,false,false,false,true,,,linkfound,2024-09-23 11:11:01,2026-04-26 20:03:52,,,Site page > Home,Entertainment > TV; News > Tabloid news; Sports,1
Air cargo tracking - track-trace,https://www.track-trace.com/aircargo,en,,200,79,28,538619,3191,255,332,160187,1885,https://www.airasia.com/en/gb,,Air Asia(QZ/AK/D7/XJ/FD/Z2),,https://www.airasia.com/,302,text,false,false,false,false,false,false,true,,,linkrestored,2023-05-15 16:12:09,2026-04-16 13:22:50,,,Tool > Map,Travel > Transportation > Air travel,2
SunRisers Hyderabad,https://www.sunrisershyderabad.in/,,,200,58,0,59300,518,24,31,31036,459,https://www.airasia.com/en/gb,,Official Airline Partner,,,,image,false,false,false,false,false,true,true,,,linkrestored,2025-03-07 14:36:05,2026-03-10 05:56:52,,,Site page > Home,Sports > Team sports > Other,1
TeeNee.com : ทันทุกเรื่องhit อัพเดททุกเรื่องhot,https://www.teenee.com/,en,,200,52,29,123469,3271,46,83,29596,541,https://www.airasia.com/th/th/home.page,,แอร์เอเชีย,,http://www.airasia.com/th/th/home.page,301,text,false,false,true,false,false,false,true,,,pagefound,2022-07-29 17:05:26,2026-04-16 10:03:54,,,Article > News,Entertainment > Entertainment news; Society > Relationships,3
Buriram United › Season,https://www.buriramunited.com/fixture,th,,200,35,10,52646,2498,24,36,17858,243,https://www.airasia.com/th/th,,Air Asia Air Asia,,,,image,false,false,false,false,false,false,true,,,linkfound,2023-08-29 09:20:57,2026-04-27 04:05:45,,,Site page > Home,Sports > Team sports > Soccer,39
Book Cheap AirAsia Flight Tickets & Deals - Airpaz,https://www.airpaz.com/en/airlines/AK-AirAsia,en,,200,62,38,529014,1794,11,26,12285,726,https://www.airasia.com/en/home.page,"the complete AirAsia Malaysia (AK) Fare Rules and Policy, click",here,Disclaimer: The airline may change its policy without any prior,https://www.airasia.com/my/en/our-fares/fare-rules.page,301,text,false,false,true,false,false,false,true,,,linkrestored,2021-07-17 18:03:21,2026-04-16 13:53:56,,,Listing collection > Service,Travel > Transportation > Air travel,9
Book Cheap AirAsia Flight Tickets & Deals - Airpaz,https://www.airpaz.com/en/airlines/AK-AirAsia,en,,200,62,38,529014,1794,11,26,12285,726,https://www.airasia.com/aa/about-us/en/my/terms-and-conditions-ak.html,"Terms and Conditions of AirAsia (AK) flights, you can go",here,.,https://www.airasia.com/my/en/about-us/terms-and-conditions-ak.page,302,text,false,false,true,false,false,false,true,,,linkrestored,2021-07-17 18:03:21,2026-04-16 13:53:56,,,Listing collection > Service,Travel > Transportation > Air travel,9
Book Cheap AirAsia Flight Tickets & Deals - Airpaz,https://www.airpaz.com/en/airlines/AK-AirAsia,en,,200,62,38,529014,1794,11,26,12285,726,https://www.airasia.com/aa/about-us/en/gb/fees-and-charges.html,"all the baggage price and charges, go to AirAsia’s website",here.,"Disclaimer: Information stated above is intended for general guide only,",,,text,false,false,true,false,false,false,true,,,linkrestored,2023-11-26 07:15:25,2026-04-16 13:53:56,,,Listing collection > Service,Travel > Transportation > Air travel,2
Book Cheap AirAsia Flight Tickets & Deals - Airpaz,https://www.airpaz.com/en/airlines/AK-AirAsia,en,,200,62,38,529014,1794,11,26,12285,726,https://www.airasia.com/check-in/en/gb,for the passengers on AirAsia’s official website check in page,here,. AK flight passengers can start checking in 14 days,,,text,false,false,true,false,false,false,true,,,linkrestored,2022-03-15 01:32:12,2026-04-16 13:53:56,,,Listing collection > Service,Travel > Transportation > Air travel,3
Book Cheap AirAsia Flight Tickets & Deals - Airpaz,https://www.airpaz.com/en/airlines/AK-AirAsia,en,,200,62,38,529014,1794,11,26,12285,726,https://www.airasia.com/aa/inflight-comforts/en/my/hot-meals.html,"to the flight, you do it from the airline’s website",here,.,https://www.airasia.com/my/en/inflight-comforts/hot-meals.page,302,text,false,false,true,false,false,false,true,,,linkrestored,2021-07-17 18:03:21,2026-04-16 13:53:56,,,Listing collection > Service,Travel > Transportation > Air travel,6
Book Cheap AirAsia Flight Tickets & Deals - Airpaz,https://www.airpaz.com/en/airlines/AK-AirAsia,en,,200,62,38,529014,1794,11,26,12285,726,https://www.airasia.com/online-read/inflight-menu/ak-flight.pdf,"for the passengers. For the full menu, you can look",here,. The inflight meals is also available through booking prior,,,text,false,false,true,false,false,false,true,,,linkrestored,2021-07-17 18:03:21,2026-04-16 13:53:56,,,Listing collection > Service,Travel > Transportation > Air travel,2
Book Cheap AirAsia Flight Tickets & Deals - Airpaz,https://www.airpaz.com/en/airlines/AK-AirAsia,en,,200,62,38,529014,1794,11,26,12285,726,https://www.airasia.com/rewards/earn-freedom-flyer/,"of AirAsia, and more detail on it can be read",here,.,https://www.airasia.com/rewards/earn-freedom-flyer/en/gb,0,text,false,false,true,false,false,false,true,,,linkrestored,2023-07-31 10:22:54,2026-04-16 13:53:56,,,Listing collection > Service,Travel > Transportation > Air travel,6
MeetHK.com 旅遊情報網 - 最新平機票及酒店優惠 | 優惠碼 | code,https://www.meethk.com/,"zh-tw, en",wordpress,200,10,11,20708,222,47,125,11260,206,https://www.airasia.com/flight/zh/hk/?from=HKGutm_source=meethk&is_retargeting=true&source_caller=ui&shortlink=cff7krj7&c=flights_hk_aa_wp|cbs_website_meethk|15042026|26042026|hk-zh&pid=af_meethk_display&af_click_lookback=10d&af_xp=custom,,https://app.airasia.com/F4uy/cff7krj7,,https://app.airasia.com/F4uy/cff7krj7,301,text,false,false,false,false,false,false,true,,,linkfound,2026-04-16 07:49:34,2026-04-16 07:49:34,,,Listing collection > Location,Travel > Travel agencies > Vacation,3
Singapore Airlines - Wikipedia,https://en.wikipedia.org/wiki/Singapore_Airlines,en,wikis,200,97,18,4182976512,925,109,292,11143,717,http://www.airasia.com/site/sg/en/pressRelease.jsp?id=d2c1e46d-7f000010-1eb7d250-746698c9,,"""AirAsia celebrates ""People's Day"" with the liberalisation of Kuala Lumpur-Singapore Route""",(Press release). AirAsia . 1 February 2008,,,text,false,true,true,false,false,false,true,,,linkfound,2015-09-23 15:53:52,2026-04-17 06:02:43,,,Article > Wiki,Travel > Transportation > Air travel; Business > Defense > Aviation industry,2
