Referring page title,Referring page URL,Language,Platform,Referring page HTTP code,Domain rating,UR,Domain traffic,Referring domains,Linked domains,External links,Page traffic,Keywords,Target URL,Left context,Anchor,Right context,Redirect Chain URLs,Redirect Chain status codes,Type,Is spam,Content,Nofollow,UGC,Sponsored,Rendered,Raw,Lost status,Drop reason,Discovered status,First seen,Last seen,Lost,Author,Page type,Page category,Links in group
Click Frenzy | Australia's Favourite Online Sale,https://www.clickfrenzy.com.au/,en,,200,61,9,102005,298,24,38,100397,351,https://www.cruiseguru.com.au/,,Cruise Guru,,,,image,false,false,false,false,false,true,false,removedfromhtml,,linkfound,2026-04-14 10:24:56,2026-04-27 22:26:03,2026-05-05 11:57:32,,Landing > Service,Shopping > Shopping portals,2
40 Most Unusual or Obscure Countries I Have Visited – Don't Stop Living,https://dontstopliving.net/40-unusual-obscure-countries-i-visited/,en,wordpress,200,40,4.5,2589,0,32,56,173,13,https://www.cruiseguru.com.au/cruises-from-sydney/,,Cruises from Sydney,,,,text,false,false,false,false,false,false,true,,,linkrestored,2025-10-14 02:04:14,2026-02-17 00:05:04,,,,,2717
Qantas Cruises,https://www.qantas.com/app/0/cruise/0/sailing.html?clear=all&sailing_id=137358,en,,200,82,0,4204969,0,13,18,100,5,http://www.cruiseguru.com.au/privacy/,,Cruise Guru Privacy Policy,,,,text,false,false,false,false,false,false,true,,,pagefound,2025-02-06 00:58:23,2026-04-10 10:44:30,,,,,2584
Qantas Cruises,https://www.qantas.com/app/0/cruise/0/sailing.html?clear=all&sailing_id=137358,en,,200,82,0,4204969,0,13,18,100,5,http://www.cruiseguru.com.au/terms,,Cruise Guru Terms and Conditions,,,,text,false,false,false,false,false,false,true,,,pagefound,2025-02-06 00:58:23,2026-04-10 10:44:30,,,,,2584
Travel the World Group,https://www.traveltheworldgroup.com.au/,en,,200,0,5,25,49,3,4,24,4,https://www.cruiseguru.com.au/,,,,,,image,false,true,false,false,false,false,true,,,linkrestored,2025-01-24 13:05:12,2026-05-11 13:45:17,,,Site page > About,Travel > Travel agencies > Other,1
The 4 Best Cruises to Book for 2023 | Travel Insider,https://www.qantas.com/travelinsider/en/experiences/cruises/best-cruises-2023.html,en,,200,82,4.6,4204969,1,7,7,5,1,https://bookings.cruiseguru.com.au/app/0/cruise/0/sailing.html?clear=all&sailing_id=241791,Book your trip with,Qantas Cruises,before 31 May 2023 to earn Triple Qantas Points. Call,,,text,false,true,false,false,false,false,true,,,linkfound,2023-05-01 11:14:58,2026-04-11 11:33:13,,,Article > Roundup,Travel > Specialty travel > Luxury travel,1
Cruise Ship Arrivals in Port Melbourne 25/26 - Visit Port Melbourne,https://visitportmelbourne.com/cruise-ship-arrivals-in-port-melbourne-2025-26-season-guide/,en,"ecommerce, wordpress",200,8,4.7,873,1,24,41,3,6,https://www.cruiseguru.com.au/princess-cruises/coral-princess/,"Launched in 2003,",Coral Princess,"accommodates 1,970 guests with a crew of 895. Designed for",,,text,false,true,false,false,false,false,true,,,pagefound,2025-09-26 06:38:46,2026-04-27 16:12:45,,,Listing collection > Event,Travel > Specialty travel > Luxury travel,1
Canonical tag missing on page with query string | WordPress.org,https://wordpress.org/support/topic/canonical-tag-missing-on-page-with-query-string/,en,wordpress,200,97,4.5,1850675,0,21,23,3,1,https://www.cruiseguru.com.au/last-minute-cruises/?depart=Brisbane,tag is missing for pages with query string such as,https://www.cruiseguru.com.au/last-minute-cruises/?depart=Brisbane,and,,,text,false,false,true,true,false,false,true,,,pagefound,2023-03-26 20:07:31,2026-04-03 01:48:15,,,,,1
Canonical tag missing on page with query string | WordPress.org,https://wordpress.org/support/topic/canonical-tag-missing-on-page-with-query-string/,en,wordpress,200,97,4.5,1850675,0,21,23,3,1,https://www.cruiseguru.com.au/last-minute-cruises/?depart=Sydney,,https://www.cruiseguru.com.au/last-minute-cruises/?depart=Sydney,,,,text,false,false,true,true,false,false,true,,,pagefound,2023-03-26 20:07:31,2026-04-03 01:48:15,,,,,1
The Ultimate Guide to ‘Round the World Cruises',https://www.storylines.com/blog/the-ultimate-guide-to-round-the-world-cruises,en,,200,42,4.6,4304,11,29,49,2,1,https://www.cruiseguru.com.au/world-cruises/,Use a world cruise review site such as,Cruise Guru,,https://www.cruiseguru.com.au/world-cruises/?gclid=Cj0KCQjw-NaJBhDsARIsAAja6dPGjA8tm9jy_MRk7kEkB3IZoux480VWQ8w2npeMgY-_vVH0og2ESsgaAp1yEALw_wcB,0,text,false,true,false,false,false,true,true,,,linkrestored,2025-01-24 16:16:25,2026-04-30 01:51:10,,Tim Roberts,Article > Guide,Travel > Specialty travel > Adventure travel,2
