Referring page title,Referring page URL,Language,Platform,Referring page HTTP code,Domain rating,UR,Domain traffic,Referring domains,Linked domains,External links,Page traffic,Keywords,Target URL,Left context,Anchor,Right context,Redirect Chain URLs,Redirect Chain status codes,Type,Is spam,Content,Nofollow,UGC,Sponsored,Rendered,Raw,Lost status,Drop reason,Discovered status,First seen,Last seen,Lost,Author,Page type,Page category,Links in group
Mumbai Indians | Official website - Mumbai Indians,https://www.mumbaiindians.com/,en,,200,65,36,1359956,1512,32,52,341945,2440,https://www.malaysiaairlines.com/in/en/cug/mumbai-indians.html,,Malaysi Air,,,,image,false,false,false,false,false,true,true,,,linkfound,2026-04-07 13:52:26,2026-04-27 05:52:12,,,Article > News,Sports > Team sports > Cricket,929
Malaysia Airlines Flight 370 - Wikipedia,https://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_370,en,wikis,200,97,12,4182976512,3381,188,723,113313,1378,http://www.malaysiaairlines.com/ksd-maintenance/DarkSites.html,"8–17 March)"" . Malaysia Airlines . March 2014. Archived from",the original,on 18 December 2014,,,text,false,true,true,false,false,false,true,,,pagefound,2020-06-06 16:01:36,2026-04-26 21:12:07,,,Article > Wiki,News > World news; Government > Legal; Travel > Transportation > Air travel,2
Malaysia Airlines Flight 370 - Wikipedia,https://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_370,en,wikis,200,97,12,4182976512,3381,188,723,113313,1378,https://www.malaysiaairlines.com/hq/en/mh-experience/our-fleet/boeing-777-200.html,"""Boeing 777-200 – Fleet"" . Malaysia Airlines. Archived from",the original,on 17 October 2013,http://www.malaysiaairlines.com/hq/en/mh-experience/our-fleet/boeing-777-200.html,301,text,false,true,true,false,false,false,true,,,pagefound,2020-06-06 16:01:36,2026-04-26 21:12:07,,,Article > Wiki,News > World news; Government > Legal; Travel > Transportation > Air travel,2
Malaysia Airlines Flight 370 - Wikipedia,https://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_370,en,wikis,200,97,12,4182976512,3381,188,723,113313,1378,http://www.malaysiaairlines.com/content/dam/malaysia-airlines/mas/PDF/MH370/8th%20Mar-Malaysia%20Airlines%20Flight%20MH%20370%20Passenger%20Manifest_Nationality.pdf,(Press release). Malaysia Airlines . 8 March 2014. Archived from,the original,,,,text,false,true,true,false,false,false,true,,,pagefound,2020-06-06 16:01:36,2026-04-26 21:12:07,,,Article > Wiki,News > World news; Government > Legal; Travel > Transportation > Air travel,1
Malaysia Airlines Flight 370 - Wikipedia,https://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_370,en,wikis,200,97,12,4182976512,3381,188,723,113313,1378,http://www.malaysiaairlines.com/my/en/corporate-info/press-room/latest/malaysia-airlines-records-rm443-million-loss-for-q12014.html,,"""Malaysia Airlines Records RM443 million Loss for Q1 2014""",.Malaysia Airlines. 15 May 2014. Archived from the original on,,,text,false,true,true,false,false,false,true,,,pagefound,2020-06-06 16:01:36,2026-04-26 21:12:07,,,Article > Wiki,News > World news; Government > Legal; Travel > Transportation > Air travel,2
Boeing 777 - Wikipedia,https://en.wikipedia.org/wiki/Boeing_777,en,wikis,200,97,15,4182976512,3537,125,470,99517,842,http://www.malaysiaairlines.com/my/en/site/dark-site.html,"Media Statement"" . Malaysia Airlines. March 14, 2014. Archived from",the original,"on March 8, 2014.",,,text,false,true,true,false,false,false,true,,,pagefound,2022-06-25 18:03:55,2026-04-19 19:21:29,,,Article > Wiki,Autos > Personal aircraft; Travel > Transportation > Air travel,2
Malaysia Airlines - Wikipedia,https://en.wikipedia.org/wiki/Malaysia_Airlines,en,wikis,200,97,13,4182976512,2465,131,396,38606,477,https://www.malaysiaairlines.com/my/en/mh-media-centre/news-releases/2025/positive-niat-rm54mil.html,,"""Malaysia Aviation Group Achieves Positive NIAT of RM54mil and Third Consecutive Operating Profit on the Back of Operational Headwinds""",.www.malaysiaairlines.com(Press release). 17 April 2024,,,text,false,true,true,false,false,false,true,,,linkfound,2026-01-01 11:10:24,2026-04-17 18:01:07,,,Article > Wiki,Travel > Transportation > Air travel,1
Malaysia Airlines - Wikipedia,https://en.wikipedia.org/wiki/Malaysia_Airlines,en,wikis,200,97,13,4182976512,2465,131,396,38606,477,https://www.malaysiaairlines.com/my/en/news-article/2019/amal.html,"hajj and Umrah pilgrims in Southeast Asia"" . Archived from",the original,on 16 November 2023,,,text,false,true,true,false,false,false,true,,,linkfound,2023-11-21 18:52:47,2026-04-17 18:01:07,,,Article > Wiki,Travel > Transportation > Air travel,1
Malaysia Airlines - Wikipedia,https://en.wikipedia.org/wiki/Malaysia_Airlines,en,wikis,200,97,13,4182976512,2465,131,396,38606,477,https://www.malaysiaairlines.com/my/en/news-article/2023/transfer-Intra-borneo-services-to-firefly.html,"Group (MAG) Transfers Intra-Borneo Services to Firefly"" . Archived from",the original,on 16 November 2023,,,text,false,true,true,false,false,false,true,,,linkfound,2023-11-21 18:52:47,2026-04-17 18:01:07,,,Article > Wiki,Travel > Transportation > Air travel,1
Malaysia Airlines - Wikipedia,https://en.wikipedia.org/wiki/Malaysia_Airlines,en,wikis,200,97,13,4182976512,2465,131,396,38606,477,https://www.malaysiaairlines.com/my/en/plan-trip/destinations.html,,"""Malaysia Airlines - Destinations & Malaysian Hospitality""",.,,,text,false,true,true,false,false,false,true,,,linkfound,2025-06-24 12:17:52,2026-04-17 18:01:07,,,Article > Wiki,Travel > Transportation > Air travel,1
Malaysia Airlines - Wikipedia,https://en.wikipedia.org/wiki/Malaysia_Airlines,en,wikis,200,97,13,4182976512,2465,131,396,38606,477,https://www.malaysiaairlines.com/my/en/mh-media-centre/news-releases/2022/malaysia-aviation-group-annual-performance.html,,"""MAG's Performance Improved by 60% YoY on the Back of a Successful Restructuring and Stronger Cargo Performance Despite 70% Capacity Reduction in Passenger ASK YoY""",.Malaysia Airlines,,,text,false,true,true,false,false,false,true,,,linkfound,2023-11-21 18:52:47,2026-04-17 18:01:07,,,Article > Wiki,Travel > Transportation > Air travel,1
