Referring page title,Referring page URL,Language,Platform,Referring page HTTP code,Domain rating,UR,Domain traffic,Referring domains,Linked domains,External links,Page traffic,Keywords,Target URL,Left context,Anchor,Right context,Redirect Chain URLs,Redirect Chain status codes,Type,Is spam,Content,Nofollow,UGC,Sponsored,Rendered,Raw,Lost status,Drop reason,Discovered status,First seen,Last seen,Lost,Author,Page type,Page category,Links in group
Gordon Ramsay - Wikipedia,https://en.wikipedia.org/wiki/Gordon_Ramsay,en,wikis,200,97,15,4189424640,1527,189,425,208685,1306,http://www.singaporeair.com/saa/en_UK/content/exp/dining/icp/index.jsp,"Culinary Panel – Singapore Airlines"" .Singapore Airlines Official Website. Archived from",the original,on 15 October 2005,,,text,false,true,true,false,false,false,true,,,pagefound,2022-01-28 03:10:42,2026-04-25 23:03:56,,,Article > Wiki,Food > Restaurants > Fine dining; Society > Other,2
Airbus A350 - Wikipedia,https://en.wikipedia.org/wiki/Airbus_A350,en,wikis,200,97,10,4189424640,391,77,558,128421,579,https://www.singaporeair.com/en_UK/es/media-centre/press-release/article/?q=en_UK/2018/October-December/ne4218-181218,,"""Singapore Airlines' First A350-900 Medium Haul Aircraft Arrives in Adelaide""",(Press release). Singapore Airlines. 18 December 2018. Archived from the,,,text,false,true,true,false,false,false,true,,,linkfound,2021-07-03 23:18:32,2026-04-12 22:04:46,,,Article > Wiki,Autos > Personal aircraft,1
Airbus A350 - Wikipedia,https://en.wikipedia.org/wiki/Airbus_A350,en,wikis,200,97,10,4189424640,391,77,558,128421,579,https://www.singaporeair.com/en_UK/sg/media-centre/press-release/article/?q=en_UK/2018/October-December/ne3418-181012,,"""Singapore Airlines Launches World's Longest Flight""",(Press release). Singapore: Singapore Airlines Group. 12 October 2018. Archived,,,text,false,true,true,false,false,false,true,,,linkfound,2021-07-03 23:18:32,2026-04-12 22:04:46,,,Article > Wiki,Autos > Personal aircraft,1
Airbus A380 - Wikipedia,https://en.wikipedia.org/wiki/Airbus_A380,en,wikis,200,97,14,4189424640,1440,170,752,127700,1506,https://www.singaporeair.com/content/news/newsrelease/20071015_suite/index.html,"""Singapore Airlines A380"" . Singapore Airlines. Archived from",the original,on 17 October 2007,http://www.a380.singaporeair.com/content/news/newsrelease/20071015_suite/index.html,301,text,false,true,true,false,false,false,true,,,pagefound,2022-07-11 07:52:55,2026-04-17 17:38:11,,,Article > Wiki,Autos > Commercial vehicles > Other; Travel > Transportation > Air travel; Business > Defense > Aviation industry,1
Airbus A380 - Wikipedia,https://en.wikipedia.org/wiki/Airbus_A380,en,wikis,200,97,14,4189424640,1440,170,752,127700,1506,https://www.singaporeair.com/en_UK/fr/flying-withus/our-story/our-heritage/,"Our History"" . Singapore Airlines. 1 November 2012. Archived from",the original,on 9 February 2013,"http://www.singaporeair.com/en_UK/about-us/sia-history/, https://www.singaporeair.com/en_UK/flying-withus/our-story/our-heritage/","301, 302",text,false,true,true,false,false,false,true,,,linkrestored,2022-07-11 07:52:55,2026-04-17 17:38:11,,,Article > Wiki,Autos > Commercial vehicles > Other; Travel > Transportation > Air travel; Business > Defense > Aviation industry,4
Airbus A380 - Wikipedia,https://en.wikipedia.org/wiki/Airbus_A380,en,wikis,200,97,14,4189424640,1165,170,762,127700,1506,https://www.singaporeair.com/en_UK/fr/flying-withus/cabins/suites-and-first-class/suites/,"""",Singapore Airlines Suites,"Archived 4 February 2016 at the Wayback Machine ""","http://www.singaporeair.com/en_UK/flying-with-us/suites/, https://www.singaporeair.com/en_UK/flying-withus/cabins/suites/, https://www.singaporeair.com/en_UK/fr/flying-withus/cabins/suites/, http://www.singaporeair.com/en_UK/flying-withus/cabins/Suites/, https://www.singaporeair.com/en_UK/flying-withus/cabins/Suites/, https://www.singaporeair.com/en_UK/fr/flying-withus/cabins/Suites/, https://www.singaporeair.com/en_UK/flying-withus/cabins/suites-and-first-class/suites/","301, 302, 301, 301, 302, 301, 302",text,false,true,true,false,false,false,true,lostredirect,,linkrestored,2024-08-17 03:18:21,2026-04-01 13:23:18,2026-04-17 17:38:11,,Article > Wiki,Autos > Commercial vehicles > Other; Travel > Transportation > Air travel; Business > Defense > Aviation industry,11
Boeing 777 - Wikipedia,https://en.wikipedia.org/wiki/Boeing_777,en,wikis,200,97,15,4189424640,3294,125,471,99586,841,https://www.singaporeair.com/en_UK/flying-withus/our-story/our-fleet/,"""Our Fleet"" .Singapore Airlines. 2012. Archived from",the original,"on March 24, 2012",http://www.singaporeair.com/en_UK/flying-with-us/ouraircraft/,301,text,false,true,true,false,false,false,true,,,pagefound,2022-06-25 18:03:55,2026-04-27 13:31:47,,,Article > Wiki,Autos > Personal aircraft; Travel > Transportation > Air travel,4
Just Delete Me | A directory of direct links to delete your account from web services.,https://justdeleteme.xyz/,en,,200,53,7,71674,1445,2492,3841,58977,333,https://www.singaporeair.com/en_UK/us/contact-us/,,Singapore Airlines (KrisFlyer) URL,,,,image,false,true,false,false,false,false,true,,,linkfound,2026-03-26 11:47:23,2026-04-16 11:19:16,,,Listing collection > Service,Internet > Web services > Development,8
"Singapore Airlines Limited (C6L.SI) stock price, news, quote and history - Yahoo Finance",https://sg.finance.yahoo.com/quote/C6L.SI/,en,,200,94,9,306308512,79,5,10,43937,170,https://www.singaporeair.com/,,www.singaporeair.com,,,,text,false,true,false,false,false,true,true,,,linkrestored,2023-11-01 23:53:21,2026-04-26 02:36:33,,,Site page > Services,Finance > Investing > Bonds; Travel > Transportation > Air travel,17
【2026年4月から新ルール】モバイルバッテリーを飛行機に持ち込む際のルールを解説 | Anker Japan 公式オンラインストア,https://www.ankerjapan.com/blogs/magazine/mobilebattery-ontheplane,ja,ecommerce,200,75,9,1468571,43,15,27,39592,1057,https://www.singaporeair.com/ja_JP/jp/travel-info/baggage/baggage-restrictions/,参照：,シンガポール航空 公式ホームページ,,,,text,false,true,false,false,false,false,true,,,linkfound,2026-03-03 23:31:24,2026-04-28 02:53:42,,,Article > How-to,Travel > Transportation > Air travel; Shopping > Consumer,1
Malaysia Airlines - Wikipedia,https://en.wikipedia.org/wiki/Malaysia_Airlines,en,wikis,200,97,13,4189424640,2215,131,397,38624,474,https://www.singaporeair.com/en_UK/my/flying-withus/our-story/our-heritage/,,"""The Creation of Singapore Airlines""",. Singapore Airlines,http://www.singaporeair.com/en_UK/my/flying-withus/our-story/our-heritage/,301,text,false,true,true,false,false,false,true,,,pagefound,2020-07-04 02:52:43,2026-04-27 13:38:41,,,Article > Wiki,Travel > Transportation > Air travel,2
Longest flights - Wikipedia,https://en.wikipedia.org/wiki/Longest_flights,en,wikis,200,97,6,4189424640,128,199,730,32085,766,https://www.singaporeair.com/en_UK/sg/media-centre/press-release/article/?q=en_UK/2018/April-June/ne2018-180530,,"""Singapore Airlines To Launch World's Longest Commercial Flights""",".www.singaporeair.com. Archived from the original on October 16, 2018",,,text,false,true,true,false,false,false,true,,,linkfound,2021-04-06 06:32:12,2026-04-14 07:10:06,,,Article > Wiki,Travel > Transportation > Air travel,1
