Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current position kind,Current URL,Updated
airasia,MY,Malaysia,,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, Thumbnail",324000,78,0.04,339618,0,1,,https://www.airasia.com/en/gb,2026-04-19 23:03:39
airasia,TH,Thailand,Thai,AirAsia (Organization),true,false,true,true,true,true,"Sitelinks, Video preview",183000,35,0.11,195841,0,1,,https://www.airasia.com/th/th,2026-04-23 20:52:38
airasia,PH,Philippines,,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Thumbnail, Video preview",126000,78,0.05,128569,0,1,,https://www.airasia.com/en/gb,2026-04-27 01:10:47
air asia,MY,Malaysia,,AirAsia (Organization),true,false,true,true,true,true,"Sitelinks, Top stories, Thumbnail, Video preview",120000,77,0.03,122308,0,1,,https://www.airasia.com/en/gb,2026-04-24 15:48:12
air asia,TH,Thailand,English,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, Video preview, Thumbnail",73000,53,0.10,76082,0,1,,https://www.airasia.com/th/th,2026-04-26 14:57:42
air asia,PH,Philippines,,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, Video preview",63000,75,0.05,63441,0,1,,https://www.airasia.com/en/gb,2026-04-22 09:35:59
แอร์เอเชีย,TH,Thailand,Thai,AirAsia (Organization),true,false,false,true,true,false,"Top ads, Sitelinks, Top stories, Thumbnail, Video preview",73000,4,0.14,51406,31444,1,,https://www.airasia.com/th/th,2026-04-26 02:37:48
airasia,SG,Singapore,,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Thumbnail",43000,78,0.13,44161,51386,1,,https://www.airasia.com/en/gb,2026-04-14 04:21:24
airasia,ID,Indonesia,Indonesian,AirAsia (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Thumbnail, Video preview",35000,48,0.06,34066,0,1,,https://www.airasia.com/id/id,2026-04-20 22:44:54
จองตั๋วเครื่องบิน,TH,Thailand,Thai,,false,false,false,false,true,true,"Thumbnail, Video preview",312000,73,0.23,32696,0,5,,https://www.airasia.com/flights/th/th/,2026-04-25 06:03:48
air asia,IN,India,English,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Video preview, Thumbnail",32000,75,0.03,29019,0,1,,https://www.airasia.com/en/gb,2026-04-22 13:20:31
air asia flight,MY,Malaysia,English,AirAsia (Organization),true,false,false,true,true,true,"People also ask, Video preview",34000,58,0.03,28496,0,1,,https://www.airasia.com/flights/,2026-04-18 05:46:53
airasia,AU,Australia,,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, Top stories, Thumbnail, People also ask, Video preview",28000,71,0.09,27393,0,1,,https://www.airasia.com/flights/,2026-04-26 23:03:31
airasia flight,MY,Malaysia,English,AirAsia (Organization),true,false,false,true,true,false,Video preview,28000,63,0.04,25141,0,1,,https://www.airasia.com/flights/,2026-04-20 00:31:52
airasia check in,MY,Malaysia,English,AirAsia (Organization),true,false,true,false,false,true,Video preview,22000,57,0.01,23583,0,1,,https://www.airasia.com/check-in/en/gb,2026-04-18 03:21:22
エアアジア,JP,Japan,Japanese,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Top stories, Thumbnail, Video preview",25000,5,0.17,23560,0,1,,https://www.airasia.com/ja/jp,2026-04-23 05:59:53
air asia,AU,Australia,English,AirAsia (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Top stories, Thumbnail, Video preview, Bottom ads, Paid sitelinks",38000,64,0.09,23399,15909,1,,https://www.airasia.com/flights/,2026-04-23 11:27:41
