Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current position kind,Current URL,Updated
cruise,AU,Australia,English,,false,false,false,true,true,false,"Top stories, Thumbnail, Video preview",17000,70,0.33,1139,0,4,,https://www.cruise1st.com.au/,2026-05-06 06:34:11
cruise first,AU,Australia,English,,false,false,false,true,true,false,"Sitelinks, People also ask, Discussions and forums, Video preview, Thumbnail",1000,10,0.63,900,0,1,,https://www.cruise1st.com.au/,2026-05-09 01:13:09
cruises from sydney 2026,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,"Top ads, Paid sitelinks, Video preview, Thumbnail",4800,0,0.46,710,0,2,,https://www.cruise1st.com.au/2026-cruises-from-sydney,2026-05-09 02:24:32
cruise 1st,AU,Australia,English,,false,false,false,true,true,false,"Sitelinks, People also ask, Video preview",700,30,0.59,669,0,1,,https://www.cruise1st.com.au/,2026-04-28 20:04:29
cruise deals,AU,Australia,English,,false,false,false,true,true,false,"Discussions and forums, Thumbnail, Video preview",4300,30,0.50,594,0,4,,https://www.cruise1st.com.au/cruises/all-inclusive,2026-05-06 06:16:58
cruises from brisbane 2026,AU,Australia,English,Brisbane (Location),false,true,false,true,true,false,"People also ask, Thumbnail",6200,0,0.45,578,0,4,,https://www.cruise1st.com.au/cruises-from-brisbane-2026,2026-05-05 15:40:44
last minute cruises,AU,Australia,English,,false,false,false,true,true,true,"Thumbnail, People also ask",3700,4,0.43,351,0,5,,https://www.cruise1st.com.au/cruises/last-minute-cruises,2026-05-06 22:00:15
cruises 2026,AU,Australia,English,,false,false,false,true,true,false,"Discussions and forums, Bottom ads, Paid sitelinks, Video preview, Thumbnail",3000,56,0.43,179,0,6,,https://www.cruise1st.com.au/,2026-05-04 06:55:36
repositioning cruises,AU,Australia,English,,false,false,false,true,true,false,"Video preview, People also ask, Thumbnail",1500,7,0.24,178,0,4,,https://www.cruise1st.com.au/destinations/repositioning,2026-05-02 13:27:31
vietnam cruises,AU,Australia,English,Vietnam (Location),false,false,false,true,true,false,"AI Overview, Thumbnail, Video preview, Image pack",900,0,0.68,177,0,3,,https://www.cruise1st.com.au/destinations/vietnam,2026-05-08 23:42:09
sydney to brisbane cruise,AU,Australia,English,Sydney to Brisbane (Location),false,true,false,true,true,false,"AI Overview, Thumbnail",300,0,0.32,165,0,1,,https://www.cruise1st.com.au/cruise-from-sydney-to-brisbane,2026-04-21 02:40:59
3 day cruise from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,true,"Thumbnail, Video preview",1300,2,0.35,163,0,3,,https://www.cruise1st.com.au/3-day-cruise-from-sydney,2026-05-06 00:24:48
cruises from melbourne 2026,AU,Australia,English,Melbourne (Location),false,true,false,true,true,false,"AI Overview, People also ask, Thumbnail, Video preview",2500,0,0.29,161,0,7,,https://www.cruise1st.com.au/2026-cruises-from-melbourne,2026-04-26 10:36:47
cruise deals from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,"People also ask, Thumbnail, Video preview",1300,6,0.48,148,0,4,,https://www.cruise1st.com.au/cheap-cruises-from-sydney,2026-05-02 09:58:13
short cruises from melbourne,AU,Australia,English,Melbourne (Location),false,true,false,true,true,false,"People also ask, Thumbnail, Video preview",700,0,0.21,146,0,2,,https://www.cruise1st.com.au/3-day-cruises-from-melbourne,2026-05-03 05:34:56
cruise companies,AU,Australia,English,,false,false,false,true,true,false,"People also ask, Thumbnail",500,41,0.58,145,0,1,,https://www.cruise1st.com.au/cruise-lines,2026-05-03 08:45:47
7 day cruise from melbourne,AU,Australia,English,Melbourne (Location),false,true,false,true,true,false,"AI Overview, People also ask, Thumbnail, Video preview, Sitelinks",400,2,0.21,143,0,2,,https://www.cruise1st.com.au/7-day-cruises-from-melbourne,2026-05-05 14:08:50
cruise from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,"Thumbnail, Video preview",5100,5,0.32,136,0,11,,https://www.cruise1st.com.au/14-day-cruises-from-sydney,2026-05-09 23:41:51
melbourne cup cruise,AU,Australia,English,Melbourne Cup (Event),false,false,false,true,true,false,"People also ask, Thumbnail, Video preview",700,0,0.45,129,0,3,,https://www.cruise1st.com.au/melbourne-cup-cruise-from-sydney,2026-05-05 23:42:14
short cruises,AU,Australia,English,,false,false,false,true,true,false,"People also ask, Thumbnail, Video preview",800,2,0.28,123,0,2,,https://www.cruise1st.com.au/cruises/short-cruises,2026-04-30 21:14:04
cruises from adelaide,AU,Australia,English,Adelaide (Location),false,true,false,true,true,false,"AI Overview, People also ask, Thumbnail, Video preview",2700,0,0.09,122,0,10,,https://www.cruise1st.com.au/cruises/cruises-from-adelaide,2026-05-11 02:15:04
moreton island cruise from sydney,AU,Australia,English,"Moreton Island (Location), Sydney (Location)",false,true,false,true,true,false,"Thumbnail, AI Overview, Video preview, People also ask",600,1,0.21,107,0,5,,https://www.cruise1st.com.au/destinations/australia/moreton-island,2026-04-14 16:04:39
last minute cruises from melbourne,AU,Australia,English,Melbourne (Location),false,true,false,true,true,true,,450,3,0.30,105,0,2,,https://www.cruise1st.com.au/zones/last-minute-cruises-from-melbourne,2026-04-12 01:21:21
sydney to melbourne cruise,AU,Australia,English,Sydney to Melbourne (Location),false,true,false,true,true,false,"AI Overview, People also ask",200,0,0.22,102,0,1,,https://www.cruise1st.com.au/sydney-to-melbourne-cruises,2026-05-03 14:05:43
cruise india,AU,Australia,English,India (Location),false,false,false,true,true,false,"Top stories, Thumbnail, Discussions and forums, Video preview",700,0,0.42,97,0,2,,https://www.cruise1st.com.au/destinations/india,2026-05-10 17:40:20
cruises to new zealand,AU,Australia,English,New Zealand (Location),false,false,false,true,true,false,"AI Overview, People also ask, Discussions and forums, Video preview, Thumbnail",1200,1,0.38,94,0,7,,https://www.cruise1st.com.au/destinations/new-zealand,2026-05-03 04:45:47
cheap cruises from brisbane,AU,Australia,English,Brisbane (Location),false,true,false,true,true,false,Thumbnail,700,3,0.31,94,0,5,,https://www.cruise1st.com.au/cruises/cruises-from-brisbane,2026-05-01 23:36:17
cruise to vietnam,AU,Australia,English,,false,false,false,true,true,false,"People also ask, Discussions and forums",250,0,0.68,86,0,1,,https://www.cruise1st.com.au/destinations/vietnam,2026-05-03 14:45:28
vietnam cruise,AU,Australia,English,Vietnam (Location),false,false,false,true,true,false,"AI Overview, People also ask, Thumbnail, Video preview",500,0,0.63,86,0,3,,https://www.cruise1st.com.au/destinations/vietnam,2026-05-06 00:23:37
small cruise ships,AU,Australia,English,,false,false,false,true,true,false,"AI Overview, Video preview, Thumbnail, People also ask",300,6,0.95,86,0,1,AI Overview,https://www.cruise1st.com.au/small-ship-cruises,2026-04-13 01:13:59
christmas cruise,AU,Australia,English,Christmas (Event),false,false,false,true,true,false,"Thumbnail, Video preview",1000,0,0.36,86,0,5,,https://www.cruise1st.com.au/cruises/christmas-new-year-cruises,2026-05-07 09:43:33
last minute cruise deals australia,AU,Australia,English,Australia (Location),false,true,false,true,true,true,"People also ask, Thumbnail",700,2,0.39,84,0,5,,https://www.cruise1st.com.au/cruises/last-minute-cruises,2026-05-05 10:10:36
cruise brisbane to cairns,AU,Australia,English,,false,true,false,true,true,false,"Thumbnail, People also ask",200,0,0.32,84,0,1,,https://www.cruise1st.com.au/cruise-from-brisbane-to-cairns,2026-04-23 19:38:15
cruise from perth,AU,Australia,English,Perth (Location),false,true,false,true,true,false,Thumbnail,1200,1,0.11,82,0,7,,https://www.cruise1st.com.au/cruises/cruises-from-perth,2026-05-06 07:19:14
repositioning cruises from australia,AU,Australia,English,Australia (Location),false,false,false,true,true,false,"AI Overview, People also ask, Bottom ads, Paid sitelinks, Thumbnail, Video preview, Image pack",600,0,0.16,80,0,3,,https://www.cruise1st.com.au/destinations/repositioning,2026-05-09 14:18:36
luxury cruise deals,AU,Australia,English,,false,false,false,true,true,false,"AI Overview, Thumbnail, People also ask",700,50,0.32,77,0,4,,https://www.cruise1st.com.au/luxury-cruises,2026-04-19 07:54:51
world cruises 2026,AU,Australia,English,,false,false,false,true,true,false,"Thumbnail, People also ask",350,1,0.55,76,0,4,,https://www.cruise1st.com.au/destinations/world-cruises,2026-04-14 00:35:04
