Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous position kind,Previous URL,Current position kind,Current URL,Previous date,Current date
lvly,AU,Australia,English,LVLY (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Video preview",4600,3,1.53,3201,4341,1140,,1,1,,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-20 17:54:47,2026-04-23 21:13:37
flower delivery melbourne,AU,Australia,English,Melbourne (Location),false,true,false,false,true,true,"Sitelinks, Thumbnail, Shopping",8400,60,1.92,73,3184,3110,,10,2,8,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-29 19:28:19,2026-04-25 19:49:56
flower delivery brisbane,AU,Australia,English,Brisbane (Location),false,true,false,true,true,true,"Sitelinks, Thumbnail, Shopping",4900,26,2.02,1018,1968,950,,4,2,2,,https://www.lvly.com.au/collections/flower-delivery-brisbane,,https://www.lvly.com.au/collections/flower-delivery-brisbane,2026-01-26 00:43:18,2026-04-29 11:47:03
flower delivery,AU,Australia,English,,false,false,false,false,true,true,"Shopping, Thumbnail, Sitelinks, Video preview",8500,41,1.70,1552,1161,-392,,1,3,-2,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-25 05:52:00,2026-04-24 22:45:25
lvly flowers,AU,Australia,English,LVLY (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Video preview",3400,1,0.94,919,1042,123,,1,1,,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-27 20:14:33,2026-04-29 08:45:51
flower delivery adelaide,AU,Australia,English,Adelaide (Location),false,true,false,true,true,true,Sitelinks,2400,40,1.60,432,907,474,,4,1,3,,https://www.lvly.com.au/collections/flower-delivery-adelaide,,https://www.lvly.com.au/collections/flower-delivery-adelaide,2026-01-27 14:57:44,2026-04-24 22:12:58
flowers sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,"Thumbnail, Sitelinks",2300,67,1.58,1,867,866,,18,2,16,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-25 00:03:08,2026-04-16 22:46:45
flowers delivery melbourne,AU,Australia,English,Melbourne (Location),false,true,false,true,true,true,"Sitelinks, Thumbnail, Discussions and forums, People also ask",1400,57,1.92,326,592,266,,4,2,2,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2025-12-30 14:24:24,2026-04-26 11:02:00
flowers delivered,AU,Australia,English,,false,false,false,true,true,true,"Thumbnail, Sitelinks",1500,71,1.70,21,588,567,,12,1,11,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-20 10:38:28,2026-04-14 05:10:25
same day delivery flowers,AU,Australia,English,,false,false,false,false,true,true,"Sitelinks, Thumbnail, Shopping, Video preview",1200,49,2.10,494,531,37,,1,1,,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-27 23:06:35,2026-04-15 22:56:31
brisbane flower delivery,AU,Australia,English,Brisbane (Location),false,true,false,true,true,true,"Sitelinks, Thumbnail",1100,33,2.02,199,485,286,,5,2,3,,https://www.lvly.com.au/collections/flower-delivery-brisbane,,https://www.lvly.com.au/collections/flower-delivery-brisbane,2026-01-28 10:40:36,2026-04-27 00:39:25
flowers melbourne,AU,Australia,English,Melbourne (Location),false,true,false,true,true,true,"Thumbnail, Sitelinks, Bottom ads",2200,50,1.35,231,437,206,,5,2,3,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-24 03:02:05,2026-04-27 16:58:14
flowers adelaide,AU,Australia,English,Adelaide (Location),false,true,false,true,true,false,"Local teaser, Thumbnail, Sitelinks",1300,36,1.12,5,351,346,,17,3,14,,https://www.lvly.com.au/,,https://www.lvly.com.au/collections/flower-delivery-adelaide,2026-01-28 11:37:09,2026-04-13 03:13:41
flower delivery perth,AU,Australia,English,Perth (Location),false,true,false,false,true,true,"Thumbnail, Shopping, Sitelinks, Video preview",4600,40,2.00,947,279,-668,,3,7,-4,,https://www.lvly.com.au/collections/flower-delivery-perth,,https://www.lvly.com.au/,2026-01-29 14:20:19,2026-04-28 09:49:39
flowers delivery,AU,Australia,English,,false,false,false,false,true,true,"Sitelinks, Shopping, Thumbnail, Bottom ads, Paid sitelinks, Video preview",4500,68,1.70,706,279,-427,,2,3,-1,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-24 13:39:35,2026-04-26 23:20:38
adelaide flower delivery,AU,Australia,English,Adelaide (Location),false,true,false,true,true,true,"Local teaser, Sitelinks",450,37,1.60,13,271,258,,11,2,9,,https://www.lvly.com.au/,,https://www.lvly.com.au/collections/flower-delivery-adelaide,2025-12-31 15:13:44,2026-04-03 03:53:27
same day flower delivery,AU,Australia,English,,false,false,false,false,true,true,"Sitelinks, Thumbnail, Shopping, Video preview",1700,53,2.39,812,268,-544,,1,2,-1,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-24 12:18:14,2026-04-27 03:07:12
gift delivery,AU,Australia,English,,false,false,false,false,true,true,"Sitelinks, Thumbnail, Shopping",600,43,0.98,51,254,203,,4,1,3,,https://www.lvly.com.au/collections/shop-all,,https://www.lvly.com.au/collections/shop-all,2025-12-29 21:03:36,2026-04-23 08:10:03
lvly discount code,AU,Australia,English,LVLY (Organization),true,false,false,true,true,true,Sitelinks,700,0,0.23,94,247,152,,3,1,2,,https://www.lvly.com.au/products/lvly-team-posy,,https://www.lvly.com.au/pages/discount,2026-01-20 00:29:58,2026-04-18 22:32:19
mothers day flowers,AU,Australia,English,Mother's Day (Event),false,false,false,false,true,true,"AI Overview, Thumbnail, Sitelinks, People also ask, Shopping, Video preview",3700,0,1.01,2,222,219,,13,1,12,,https://www.lvly.com.au/collections/mothers-day,AI Overview,https://www.lvly.com.au/collections/mothers-day,2026-01-20 07:34:54,2026-04-23 18:23:37
massage voucher,AU,Australia,English,,false,false,false,true,true,false,"AI Overview, People also ask",800,0,0.59,38,201,163,,5,2,3,,https://www.lvly.com.au/products/spa-flowers,,https://www.lvly.com.au/products/spa-flowers,2026-01-17 16:23:53,2026-04-20 02:56:58
birthday delivery,AU,Australia,English,,false,false,false,false,true,true,"Sitelinks, Thumbnail, Shopping",500,3,0.88,68,183,115,,1,1,,,https://www.lvly.com.au/collections/birthday,,https://www.lvly.com.au/collections/birthday,2025-12-15 22:31:37,2026-04-04 09:34:19
send flowers melbourne,AU,Australia,English,Melbourne (Location),false,true,false,true,true,true,"Top ads, Sitelinks",800,67,1.63,82,182,100,103,4,2,2,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-18 05:19:25,2026-04-19 19:56:25
flowers delivery sydney,AU,Australia,English,Sydney (Location),false,true,false,false,true,true,"Thumbnail, Sitelinks",2100,62,2.18,30,180,150,,15,6,9,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-21 01:58:53,2026-04-16 13:37:19
flower delivery near me,AU,Australia,English,,false,true,false,false,true,true,"Local teaser, Thumbnail, Sitelinks",500,58,1.22,163,,,,2,,Lost,,https://www.lvly.com.au/,,,2026-01-28 16:08:15,
flower delivery canberra,AU,Australia,English,Canberra (Location),false,true,false,false,true,true,"Sitelinks, Discussions and forums",1100,41,1.90,115,150,35,,5,4,1,,https://www.lvly.com.au/collections/canberra,,https://www.lvly.com.au/collections/canberra,2026-01-01 06:23:15,2026-04-28 02:46:46
sympathy flowers,AU,Australia,English,,false,false,false,false,true,true,"Sitelinks, Shopping, Thumbnail, People also ask, Discussions and forums, Video preview",1500,1,1.43,61,130,69,,6,2,4,,https://www.lvly.com.au/collections/sympathy-flowers,,https://www.lvly.com.au/collections/sympathy-flowers,2026-01-21 07:37:24,2026-04-25 17:03:58
