Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current position kind,Current URL,Updated
malaysia airlines,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Top stories, Thumbnail, Video preview",173000,59,0.21,164216,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-24 03:16:09
malaysia airlines,AU,Australia,English,Malaysia Airlines (Organization),true,false,true,true,true,false,"Sitelinks, People also ask, Top stories, Thumbnail, Video preview",61000,39,0.28,53935,18800,1,,https://www.malaysiaairlines.com/au/en/home.html,2026-04-22 15:25:37
mas,MY,Malaysia,Malay,Malaysia Airlines (Organization),true,false,false,true,true,true,"Thumbnail, Local pack, Video preview",54000,3,0.21,53600,17358,1,,https://www.malaysiaairlines.com/my/ms/home.html,2026-04-26 08:20:38
mas airline,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Video preview",53000,48,0.21,49930,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-19 22:42:24
mhexplorer,MY,Malaysia,,MHEXPLORER (Organization),true,false,false,true,false,false,"Video preview, Thumbnail",17000,0,0.18,21103,0,1,,https://www.malaysiaairlines.com/au/en/other-offerings/mhexplorer.html,2026-04-19 00:07:39
malaysia airline,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Video preview",17000,56,0.37,15684,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-23 00:39:05
malaysia airlines,US,United States,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Top stories, Thumbnail, Video preview",25000,54,0.07,15203,0,1,,https://www.malaysiaairlines.com/us/en/home.html,2026-04-23 19:55:39
malaysia airlines,GB,United Kingdom,English,Malaysia Airlines (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Thumbnail, Video preview",16000,60,0.71,14636,4557,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-25 22:19:20
malaysia airlines,IN,India,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Top ads, Sitelinks, People also ask, Top stories, Thumbnail, Video preview",26000,64,0.11,11985,13062,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-22 10:11:50
malaysia airlines,SG,Singapore,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Top stories, Thumbnail, Bottom ads, Paid sitelinks, Video preview",15000,46,0.35,10814,12441,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-15 03:54:36
mas airlines,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Sitelinks, Thumbnail, Video preview",10000,46,0.37,9840,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-22 08:34:50
enrich login,MY,Malaysia,English,Enrich (Organization),true,false,true,false,false,false,"People also ask, Video preview, Thumbnail",8200,2,0.02,9162,0,1,,https://www.malaysiaairlines.com/my/en/enrich-portal/summary.html,2026-04-18 08:53:32
malaysia airlines,NZ,New Zealand,English,Malaysia Airlines (Organization),true,false,false,true,false,false,"Sitelinks, People also ask, Top stories, Thumbnail, Video preview",9700,26,0.22,8726,2827,1,,https://www.malaysiaairlines.com/nz/en/home.html,2026-04-14 23:02:37
malaysia airlines check in,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,true,false,false,true,"People also ask, Video preview",8200,29,0.02,8428,0,1,,https://www.malaysiaairlines.com/uk/en/travel-info/check-in.html,2026-04-24 20:53:38
マレーシア航空,JP,Japan,Japanese,Malaysia Airlines (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Top stories, Thumbnail, Video preview",9500,0,0.47,8147,1525,1,,https://www.malaysiaairlines.com/jp/ja/home.html,2026-04-22 17:04:00
malaysia airlines,ID,Indonesia,English,Malaysia Airlines (Organization),true,false,true,true,true,false,"People also ask, Thumbnail, Sitelinks, Video preview",8500,44,0.20,8124,0,1,,https://www.malaysiaairlines.com/id/id/home.html,2026-04-23 00:49:49
malaysian airlines,AU,Australia,English,Malaysia Airlines (Organization),true,false,true,true,true,false,"Sitelinks, Top stories, Thumbnail, People also ask, Video preview",8500,28,,7929,0,1,,https://www.malaysiaairlines.com/us/en/home.html,2026-04-19 20:12:50
malaysian airlines,MY,Malaysia,English,Malaysian Airlines (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Thumbnail, Video preview",8400,54,,7664,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-26 23:34:50
mas check in,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,false,true,false,false,"Video preview, People also ask",6100,3,0.02,6202,0,1,,https://www.malaysiaairlines.com/my/en/travel-info/check-in.html,2026-04-19 12:53:24
