Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current position kind,Current URL,Updated
sia,SG,Singapore,,Sia (Person),false,false,false,true,false,false,"Sitelinks, People also ask, Thumbnail, Video preview",35000,84,0.29,27728,0,1,,https://www.singaporeair.com/en_UK/sg/home,2026-04-19 20:53:48
singapore,US,United States,English,Singapore (Location),false,true,false,true,false,false,"People also ask, Knowledge panel, Top stories, Thumbnail, Video preview",509000,88,0.07,19318,0,4,,https://www.singaporeair.com/en_UK/us/home,2026-04-26 06:56:50
singapore,SG,Singapore,,Singapore (Location),false,true,false,true,false,false,"Top stories, Thumbnail, Knowledge panel, People also ask",147000,94,0.04,5003,0,7,,https://www.singaporeair.com/en_UK/sg/home,2026-04-28 06:02:54
singapore,GB,United Kingdom,English,Singapore (Location),false,true,false,true,false,false,"People also ask, Knowledge panel, Top stories, Thumbnail, Video preview",122000,84,0.08,4523,0,4,,https://www.singaporeair.com/en_UK/us/home,2026-04-26 08:21:34
sq,US,United States,,,false,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",92000,53,2.22,4417,0,4,,https://www.singaporeair.com/en_UK/us/home,2026-04-26 03:46:50
singapore,MY,Malaysia,,Singapore (Location),false,true,false,true,false,false,"People also ask, Thumbnail, Knowledge panel",45000,88,0.07,1941,0,3,,https://www.singaporeair.com/en_UK/us/home,2026-04-25 02:07:33
singapore to bangkok,SG,Singapore,English,"Singapore (Location), Bangkok (Location)",false,true,false,true,true,false,"Thumbnail, People also ask, Video preview",7900,1,0.25,1705,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-bangkok,2026-04-14 09:12:08
singapore to bali,SG,Singapore,English,"Singapore (Location), Bali (Location)",false,true,false,true,true,false,"People also ask, Video preview",5900,0,0.27,1690,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-denpasar-bali,2026-03-19 22:53:44
singapore to taiwan,SG,Singapore,English,"Singapore (Location), Taiwan (Location)",false,true,false,true,false,false,"People also ask, Video preview",2800,0,0.27,1382,113,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-taipei,2026-04-06 00:54:09
sq promo,SG,Singapore,English,,false,false,false,true,true,false,"AI Overview, Thumbnail, Video preview",1200,1,0.29,1366,0,1,AI Overview,https://www.singaporeair.com/en_UK/sg/plan-travel/local-promotions/offers/,2026-04-13 21:47:48
シンガポール 航空券,JP,Japan,Japanese,Singapore (Location),false,true,false,true,true,true,"People also ask, Thumbnail",3500,2,0.26,1359,811,1,,https://www.singaporeair.com/ja-jp/,2026-04-23 20:37:01
sq,JP,Japan,,,false,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",9700,6,0.77,1274,0,1,AI Overview,https://www.singaporeair.com/ja_JP/jp/home,2026-04-23 13:46:07
singapore to london,SG,Singapore,English,"Singapore (Location), London (Location)",false,true,false,true,true,false,"AI Overview, People also ask, Video preview",3200,0,0.40,1238,148,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-london,2026-04-22 16:13:27
manila to singapore,PH,Philippines,English,,false,false,false,true,true,false,"People also ask, Thumbnail, Video preview",6400,0,0.12,1237,0,1,,https://www.singaporeair.com/en-ph/flights-from-manila-to-singapore,2026-04-22 19:09:03
sq check in,SG,Singapore,English,,false,false,true,false,false,true,"Sitelinks, Video preview",1200,26,1.65,1223,0,1,,https://www.singaporeair.com/en_UK/sg/travel-info/check-in/,2026-04-19 03:40:44
singapore to penang flight,SG,Singapore,English,,false,true,false,true,true,false,"Thumbnail, People also ask",4400,0,0.23,1179,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-penang,2026-04-19 04:48:01
singapore,CA,Canada,,Singapore (Location),false,true,false,true,false,false,"People also ask, Knowledge panel, Top stories, Thumbnail, Video preview",63000,84,0.05,1157,0,8,,https://www.singaporeair.com/en_UK/us/home,2026-04-27 19:52:40
sydney to london flights,AU,Australia,English,,false,false,false,true,true,true,"Thumbnail, People also ask, Video preview",4100,0,0.42,1136,0,1,,https://www.singaporeair.com/en-au/flights-from-sydney-to-london,2026-04-28 13:08:51
